Pipeline Runner
  Submission:  submissions/arcf_prover
  Problems:    100
  Config:      timeout=3600s, max_output_tokens=65536
[33/100] padv_seed_collapse_contextual_lift_true_2942_5_mixed_0033: Equation970066 -> Equation970067 -> FAILED in 9.9s [llm:0, judge:0]
[34/100] padv_seed_collapse_contextual_lift_true_2942_5_mixed_0034: Equation970068 -> Equation970069 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[35/100] padv_seed_collapse_contextual_lift_true_130_1759_positive_0035: Equation970070 -> Equation970071 -> SOLVED (true) in 7.8s [llm:0, judge:1]
[36/100] padv_seed_collapse_contextual_lift_true_130_1759_positive_0036: Equation970072 -> Equation970073 -> SOLVED (true) in 7.7s [llm:0, judge:1]
[37/100] padv_seed_collapse_contextual_lift_true_130_1759_boundary_0037: Equation970074 -> Equation970075 -> SOLVED (false) in 2.4s [llm:0, judge:1]
[38/100] padv_seed_collapse_contextual_lift_true_130_1759_boundary_0038: Equation970076 -> Equation970077 -> FAILED in 2.5s [llm:0, judge:0]
[39/100] padv_seed_collapse_contextual_lift_true_130_1759_boundary_0039: Equation970078 -> Equation970079 -> FAILED in 2.0s [llm:0, judge:0]
[40/100] padv_seed_collapse_contextual_lift_true_130_1759_boundary_0040: Equation970080 -> Equation970081 -> FAILED in 3.1s [llm:0, judge:0]
[41/100] padv_square_anchor_anchored_erasure_true_2860_3458_positive_0041: Equation970082 -> Equation970083 -> SOLVED (true) in 11.9s [llm:0, judge:1]
[42/100] padv_square_anchor_anchored_erasure_true_2860_3458_positive_0042: Equation970084 -> Equation970085 -> SOLVED (true) in 11.4s [llm:0, judge:1]
[43/100] padv_square_anchor_anchored_erasure_true_2860_3458_positive_0043: Equation970086 -> Equation970087 -> SOLVED (true) in 11.2s [llm:0, judge:1]
[44/100] padv_square_anchor_anchored_erasure_true_2860_3458_boundary_0044: Equation970088 -> Equation970089 -> SOLVED (false) in 2.0s [llm:0, judge:1]
[45/100] padv_square_anchor_anchored_erasure_true_2860_3458_boundary_0045: Equation970090 -> Equation970091 -> SOLVED (false) in 2.0s [llm:0, judge:1]
[46/100] padv_square_anchor_anchored_erasure_true_2860_3458_boundary_0046: Equation970092 -> Equation970093 -> FAILED in 7.1s [llm:0, judge:0]
[47/100] padv_square_anchor_anchored_erasure_true_2860_3458_boundary_0047: Equation970094 -> Equation970095 -> FAILED in 4.5s [llm:0, judge:0]
[48/100] padv_square_anchor_anchored_erasure_true_2860_3458_boundary_0048: Equation970096 -> Equation970097 -> SOLVED (false) in 2.0s [llm:0, judge:1]
[49/100] padv_square_anchor_anchored_erasure_true_2860_3458_negative_0049: Equation970098 -> Equation970099 -> SOLVED (false) in 2.0s [llm:0, judge:1]
[50/100] padv_square_anchor_anchored_erasure_true_2860_3458_negative_0050: Equation970100 -> Equation970101 -> SOLVED (false) in 1.9s [llm:0, judge:1]
[51/100] padv_square_anchor_anchored_erasure_true_2860_3458_negative_0051: Equation970102 -> Equation970103 -> FAILED in 10.6s [llm:0, judge:0]
[52/100] padv_square_anchor_anchored_erasure_true_2860_3458_mixed_0052: Equation970104 -> Equation970105 -> SOLVED (false) in 2.0s [llm:0, judge:1]
[53/100] padv_square_anchor_anchored_erasure_true_2860_3458_mixed_0053: Equation970106 -> Equation970107 -> FAILED in 12.4s [llm:0, judge:0]
[54/100] padv_square_anchor_anchored_erasure_true_2860_3458_mixed_0054: Equation970108 -> Equation970109 -> SOLVED (false) in 1.9s [llm:0, judge:1]
[55/100] padv_square_anchor_anchored_erasure_true_1738_1258_positive_0055: Equation970110 -> Equation970111 -> SOLVED (true) in 4.7s [llm:0, judge:1]
[56/100] padv_square_anchor_anchored_erasure_true_1738_1258_positive_0056: Equation970112 -> Equation970113 -> SOLVED (true) in 4.8s [llm:0, judge:1]
[57/100] padv_square_anchor_anchored_erasure_true_1738_1258_boundary_0057: Equation970114 -> Equation970115 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[58/100] padv_square_anchor_anchored_erasure_true_1738_1258_boundary_0058: Equation970116 -> Equation970117 -> SOLVED (true) in 1.5s [llm:0, judge:1]
[59/100] padv_square_anchor_anchored_erasure_true_1738_1258_boundary_0059: Equation970118 -> Equation970119 -> SOLVED (false) in 2.0s [llm:0, judge:1]
[60/100] padv_square_anchor_anchored_erasure_true_1738_1258_boundary_0060: Equation970120 -> Equation970121 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[61/100] padv_tail_shift_repeated_tail_corridor_true_691_1976_positive_0061: Equation970122 -> Equation970123 -> SOLVED (true) in 9.0s [llm:0, judge:1]
[62/100] padv_tail_shift_repeated_tail_corridor_true_691_1976_positive_0062: Equation970124 -> Equation970125 -> FAILED in 14.8s [llm:0, judge:0]
[63/100] padv_tail_shift_repeated_tail_corridor_true_691_1976_positive_0063: Equation970126 -> Equation970127 -> SOLVED (true) in 9.8s [llm:0, judge:1]
[64/100] padv_tail_shift_repeated_tail_corridor_true_691_1976_boundary_0064: Equation970128 -> Equation970129 -> SOLVED (false) in 2.7s [llm:0, judge:1]
[65/100] padv_tail_shift_repeated_tail_corridor_true_691_1976_boundary_0065: Equation970130 -> Equation970131 -> SOLVED (false) in 2.4s [llm:0, judge:1]
[66/100] padv_tail_shift_repeated_tail_corridor_true_691_1976_boundary_0066: Equation970132 -> Equation970133 -> FAILED in 4.6s [llm:0, judge:0]
[67/100] padv_tail_shift_repeated_tail_corridor_true_691_1976_boundary_0067: Equation970134 -> Equation970135 -> FAILED in 5.5s [llm:0, judge:0]
[68/100] padv_tail_shift_repeated_tail_corridor_true_691_1976_boundary_0068: Equation970136 -> Equation970137 -> FAILED in 9.4s [llm:0, judge:0]
[69/100] padv_tail_shift_repeated_tail_corridor_true_691_1976_negative_0069: Equation970138 -> Equation970139 -> FAILED in 9.4s [llm:0, judge:0]
[70/100] padv_tail_shift_repeated_tail_corridor_true_691_1976_negative_0070: Equation970140 -> Equation970141 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[71/100] padv_tail_shift_repeated_tail_corridor_true_691_1976_negative_0071: Equation970142 -> Equation970143 -> FAILED in 14.6s [llm:0, judge:0]
[72/100] padv_tail_shift_repeated_tail_corridor_true_691_1976_mixed_0072: Equation970144 -> Equation970145 -> FAILED in 4.2s [llm:0, judge:0]
[73/100] padv_tail_shift_repeated_tail_corridor_true_691_1976_mixed_0073: Equation970146 -> Equation970147 -> FAILED in 8.1s [llm:0, judge:0]
[74/100] padv_tail_shift_repeated_tail_corridor_true_691_1976_mixed_0074: Equation970148 -> Equation970149 -> SOLVED (false) in 2.0s [llm:0, judge:1]
[75/100] padv_tail_shift_repeated_tail_corridor_true_689_1350_positive_0075: Equation970150 -> Equation970151 -> SOLVED (true) in 1.8s [llm:0, judge:1]
[76/100] padv_tail_shift_repeated_tail_corridor_true_689_1350_positive_0076: Equation970152 -> Equation970153 -> FAILED in 1.1s [llm:0, judge:0]
[77/100] padv_tail_shift_repeated_tail_corridor_true_689_1350_boundary_0077: Equation970154 -> Equation970155 -> SOLVED (false) in 2.0s [llm:0, judge:1]
[78/100] padv_tail_shift_repeated_tail_corridor_true_689_1350_boundary_0078: Equation970156 -> Equation970157 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[79/100] padv_tail_shift_repeated_tail_corridor_true_689_1350_boundary_0079: Equation970158 -> Equation970159 -> FAILED in 4.0s [llm:0, judge:0]
[80/100] padv_tail_shift_repeated_tail_corridor_true_689_1350_boundary_0080: Equation970160 -> Equation970161 -> FAILED in 9.9s [llm:0, judge:0]
[81/100] padv_two_local_edge_local_theory_bridge_true_2055_2656_positive_0081: Equation970162 -> Equation970163 -> SOLVED (true) in 5.2s [llm:0, judge:1]
[82/100] padv_two_local_edge_local_theory_bridge_true_2055_2656_positive_0082: Equation970164 -> Equation970165 -> SOLVED (true) in 5.2s [llm:0, judge:1]
[83/100] padv_two_local_edge_local_theory_bridge_true_2055_2656_positive_0083: Equation970166 -> Equation970167 -> SOLVED (true) in 5.2s [llm:0, judge:1]
[84/100] padv_two_local_edge_local_theory_bridge_true_2055_2656_boundary_0084: Equation970168 -> Equation970169 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[85/100] padv_two_local_edge_local_theory_bridge_true_2055_2656_boundary_0085: Equation970170 -> Equation970171 -> SOLVED (false) in 2.2s [llm:0, judge:1]
[86/100] padv_two_local_edge_local_theory_bridge_true_2055_2656_boundary_0086: Equation970172 -> Equation970173 -> SOLVED (false) in 2.3s [llm:0, judge:1]
[87/100] padv_two_local_edge_local_theory_bridge_true_2055_2656_boundary_0087: Equation970174 -> Equation970175 -> FAILED in 3.3s [llm:0, judge:0]
[88/100] padv_two_local_edge_local_theory_bridge_true_2055_2656_boundary_0088: Equation970176 -> Equation970177 -> SOLVED (false) in 2.2s [llm:0, judge:1]
[89/100] padv_two_local_edge_local_theory_bridge_true_2055_2656_negative_0089: Equation970178 -> Equation970179 -> SOLVED (false) in 2.2s [llm:0, judge:1]
[90/100] padv_two_local_edge_local_theory_bridge_true_2055_2656_negative_0090: Equation970180 -> Equation970181 -> SOLVED (false) in 2.2s [llm:0, judge:1]
[91/100] padv_two_local_edge_local_theory_bridge_true_2055_2656_negative_0091: Equation970182 -> Equation970183 -> FAILED in 17.1s [llm:0, judge:0]
[92/100] padv_two_local_edge_local_theory_bridge_true_2055_2656_mixed_0092: Equation970184 -> Equation970185 -> SOLVED (false) in 2.2s [llm:0, judge:1]
[93/100] padv_two_local_edge_local_theory_bridge_true_2055_2656_mixed_0093: Equation970186 -> Equation970187 -> FAILED in 13.9s [llm:0, judge:0]
[94/100] padv_two_local_edge_local_theory_bridge_true_2055_2656_mixed_0094: Equation970188 -> Equation970189 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[95/100] padv_two_local_edge_local_theory_bridge_true_2055_2656_positive_0095: Equation970190 -> Equation970191 -> SOLVED (true) in 5.2s [llm:0, judge:1]
[96/100] padv_two_local_edge_local_theory_bridge_true_2055_2656_positive_0096: Equation970192 -> Equation970193 -> SOLVED (true) in 5.1s [llm:0, judge:1]
[97/100] padv_two_local_edge_local_theory_bridge_true_2055_2656_boundary_0097: Equation970194 -> Equation970195 -> SOLVED (false) in 2.0s [llm:0, judge:1]
[98/100] padv_two_local_edge_local_theory_bridge_true_2055_2656_boundary_0098: Equation970196 -> Equation970197 -> SOLVED (false) in 2.0s [llm:0, judge:1]
[99/100] padv_two_local_edge_local_theory_bridge_true_2055_2656_boundary_0099: Equation970198 -> Equation970199 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[100/100] padv_two_local_edge_local_theory_bridge_true_2055_2656_boundary_0100: Equation970200 -> Equation970201 -> FAILED in 3.0s [llm:0, judge:0]

============================================================
Results: 66/100 solved, 34 failed
Total time: 567.4s
Output: analysis/private_adversarial_results_telemetry_enabled.json
