Pipeline Runner
  Submission:  submissions/arcf_prover
  Problems:    200
  Config:      timeout=3600s, max_output_tokens=65536
[20/200] false_1922_125: Equation1922 -> Equation125 -> SOLVED (false) in 2.6s [llm:0, judge:1]
[21/200] false_4157_39: Equation4157 -> Equation39 -> SOLVED (false) in 2.4s [llm:0, judge:1]
[22/200] true_3291_3304: Equation3291 -> Equation3304 -> SOLVED (true) in 8.1s [llm:0, judge:1]
[23/200] true_1698_555: Equation1698 -> Equation555 -> FAILED in 7.1s [llm:0, judge:0]
[24/200] false_731_2663: Equation731 -> Equation2663 -> SOLVED (false) in 2.4s [llm:0, judge:1]
[25/200] false_1232_73: Equation1232 -> Equation73 -> SOLVED (false) in 2.2s [llm:0, judge:1]
[26/200] false_1045_910: Equation1045 -> Equation910 -> SOLVED (false) in 2.3s [llm:0, judge:1]
[27/200] true_1617_1615: Equation1617 -> Equation1615 -> SOLVED (true) in 1.7s [llm:0, judge:1]
[28/200] true_1604_1822: Equation1604 -> Equation1822 -> SOLVED (true) in 3.9s [llm:0, judge:1]
[29/200] false_4608_3050: Equation4608 -> Equation3050 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[30/200] true_1202_1055: Equation1202 -> Equation1055 -> SOLVED (true) in 1.6s [llm:0, judge:1]
[31/200] true_2111_1755: Equation2111 -> Equation1755 -> SOLVED (true) in 5.6s [llm:0, judge:1]
[32/200] false_825_2663: Equation825 -> Equation2663 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[33/200] true_282_2133: Equation282 -> Equation2133 -> SOLVED (true) in 1.5s [llm:0, judge:1]
[34/200] false_3749_4320: Equation3749 -> Equation4320 -> SOLVED (false) in 2.3s [llm:0, judge:1]
[35/200] true_1120_714: Equation1120 -> Equation714 -> SOLVED (true) in 1.7s [llm:0, judge:1]
[36/200] false_4458_3867: Equation4458 -> Equation3867 -> SOLVED (false) in 2.2s [llm:0, judge:1]
[37/200] true_3568_3565: Equation3568 -> Equation3565 -> SOLVED (true) in 1.6s [llm:0, judge:1]
[38/200] true_4150_4134: Equation4150 -> Equation4134 -> SOLVED (true) in 1.9s [llm:0, judge:1]
[39/200] false_4364_3474: Equation4364 -> Equation3474 -> SOLVED (false) in 2.2s [llm:0, judge:1]
[40/200] true_2497_2441: Equation2497 -> Equation2441 -> SOLVED (true) in 1.6s [llm:0, judge:1]
[41/200] true_143_1425: Equation143 -> Equation1425 -> SOLVED (true) in 1.6s [llm:0, judge:1]
[42/200] true_4520_4476: Equation4520 -> Equation4476 -> SOLVED (true) in 1.6s [llm:0, judge:1]
[43/200] false_3665_640: Equation3665 -> Equation640 -> SOLVED (false) in 2.4s [llm:0, judge:1]
[44/200] true_305_295: Equation305 -> Equation295 -> SOLVED (true) in 1.6s [llm:0, judge:1]
[45/200] false_1202_2541: Equation1202 -> Equation2541 -> SOLVED (false) in 2.2s [llm:0, judge:1]
[46/200] false_28_4081: Equation28 -> Equation4081 -> SOLVED (false) in 2.2s [llm:0, judge:1]
[47/200] true_1595_1593: Equation1595 -> Equation1593 -> SOLVED (true) in 1.6s [llm:0, judge:1]
[48/200] true_3083_3094: Equation3083 -> Equation3094 -> SOLVED (true) in 4.3s [llm:0, judge:1]
[49/200] false_833_3546: Equation833 -> Equation3546 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[50/200] false_452_255: Equation452 -> Equation255 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[51/200] true_2230_2205: Equation2230 -> Equation2205 -> SOLVED (true) in 1.6s [llm:0, judge:1]
[52/200] false_919_872: Equation919 -> Equation872 -> SOLVED (false) in 2.3s [llm:0, judge:1]
[53/200] true_4616_4623: Equation4616 -> Equation4623 -> SOLVED (true) in 1.6s [llm:0, judge:1]
[54/200] false_1491_2866: Equation1491 -> Equation2866 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[55/200] false_376_4635: Equation376 -> Equation4635 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[56/200] false_437_3722: Equation437 -> Equation3722 -> SOLVED (false) in 2.2s [llm:0, judge:1]
[57/200] true_4530_4576: Equation4530 -> Equation4576 -> SOLVED (true) in 2.3s [llm:0, judge:1]
[58/200] false_1673_1731: Equation1673 -> Equation1731 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[59/200] false_3758_1861: Equation3758 -> Equation1861 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[60/200] false_504_670: Equation504 -> Equation670 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[61/200] true_4098_4090: Equation4098 -> Equation4090 -> SOLVED (true) in 1.6s [llm:0, judge:1]
[62/200] true_2599_2594: Equation2599 -> Equation2594 -> SOLVED (true) in 1.5s [llm:0, judge:1]
[63/200] true_1022_99: Equation1022 -> Equation99 -> SOLVED (true) in 1.7s [llm:0, judge:1]
[64/200] true_425_1630: Equation425 -> Equation1630 -> SOLVED (true) in 1.9s [llm:0, judge:1]
[65/200] false_4072_1120: Equation4072 -> Equation1120 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[66/200] true_608_593: Equation608 -> Equation593 -> SOLVED (true) in 1.8s [llm:0, judge:1]
[67/200] true_2930_2914: Equation2930 -> Equation2914 -> SOLVED (true) in 1.5s [llm:0, judge:1]
[68/200] false_5_2866: Equation5 -> Equation2866 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[69/200] false_413_642: Equation413 -> Equation642 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[70/200] true_3541_3537: Equation3541 -> Equation3537 -> SOLVED (true) in 1.8s [llm:0, judge:1]
[71/200] false_1721_2291: Equation1721 -> Equation2291 -> SOLVED (false) in 2.4s [llm:0, judge:1]
[72/200] true_2430_2318: Equation2430 -> Equation2318 -> SOLVED (true) in 1.6s [llm:0, judge:1]
[73/200] false_1983_1021: Equation1983 -> Equation1021 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[74/200] false_3533_3871: Equation3533 -> Equation3871 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[75/200] true_2860_3458: Equation2860 -> Equation3458 -> FAILED in 15.9s [llm:0, judge:0]
[76/200] false_2098_221: Equation2098 -> Equation221 -> SOLVED (false) in 2.2s [llm:0, judge:1]
[77/200] false_2459_3521: Equation2459 -> Equation3521 -> SOLVED (false) in 2.3s [llm:0, judge:1]
[78/200] true_3829_41: Equation3829 -> Equation41 -> SOLVED (true) in 1.6s [llm:0, judge:1]
[79/200] false_4271_4165: Equation4271 -> Equation4165 -> SOLVED (false) in 2.2s [llm:0, judge:1]
[80/200] true_130_1759: Equation130 -> Equation1759 -> FAILED in 7.8s [llm:0, judge:0]
[81/200] true_4466_4458: Equation4466 -> Equation4458 -> SOLVED (true) in 1.6s [llm:0, judge:1]
[82/200] true_2061_307: Equation2061 -> Equation307 -> FAILED in 1.8s [llm:0, judge:0]
[83/200] true_1738_1258: Equation1738 -> Equation1258 -> FAILED in 7.4s [llm:0, judge:0]
[84/200] true_643_614: Equation643 -> Equation614 -> SOLVED (true) in 1.5s [llm:0, judge:1]
[85/200] true_1671_1649: Equation1671 -> Equation1649 -> SOLVED (true) in 1.5s [llm:0, judge:1]
[86/200] true_3875_3865: Equation3875 -> Equation3865 -> SOLVED (true) in 1.5s [llm:0, judge:1]
[87/200] true_2260_2254: Equation2260 -> Equation2254 -> SOLVED (true) in 1.5s [llm:0, judge:1]
[88/200] true_4318_4314: Equation4318 -> Equation4314 -> SOLVED (true) in 1.5s [llm:0, judge:1]
[89/200] false_3315_2247: Equation3315 -> Equation2247 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[90/200] true_2425_2351: Equation2425 -> Equation2351 -> SOLVED (true) in 1.5s [llm:0, judge:1]
[91/200] true_1751_1739: Equation1751 -> Equation1739 -> SOLVED (true) in 1.5s [llm:0, judge:1]
[92/200] true_2139_2138: Equation2139 -> Equation2138 -> SOLVED (true) in 1.5s [llm:0, judge:1]
[93/200] false_2659_3272: Equation2659 -> Equation3272 -> SOLVED (false) in 2.0s [llm:0, judge:1]
[94/200] true_2654_2864: Equation2654 -> Equation2864 -> SOLVED (true) in 4.4s [llm:0, judge:1]
[95/200] true_2814_2813: Equation2814 -> Equation2813 -> SOLVED (true) in 1.5s [llm:0, judge:1]
[96/200] false_872_2444: Equation872 -> Equation2444 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[97/200] false_3684_1834: Equation3684 -> Equation1834 -> SOLVED (false) in 2.3s [llm:0, judge:1]
[98/200] true_359_4065: Equation359 -> Equation4065 -> SOLVED (true) in 1.5s [llm:0, judge:1]
[99/200] true_2789_898: Equation2789 -> Equation898 -> FAILED in 5.5s [llm:0, judge:0]
[100/200] false_1228_1887: Equation1228 -> Equation1887 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[101/200] true_2935_3138: Equation2935 -> Equation3138 -> SOLVED (true) in 3.8s [llm:0, judge:1]
[102/200] true_1000_894: Equation1000 -> Equation894 -> SOLVED (true) in 1.5s [llm:0, judge:1]
[103/200] false_640_3150: Equation640 -> Equation3150 -> SOLVED (false) in 2.0s [llm:0, judge:1]
[104/200] false_13_4167: Equation13 -> Equation4167 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[105/200] true_2135_2128: Equation2135 -> Equation2128 -> FAILED in 5.0s [llm:0, judge:0]
[106/200] true_428_3725: Equation428 -> Equation3725 -> SOLVED (true) in 7.9s [llm:0, judge:1]
[107/200] false_2709_4291: Equation2709 -> Equation4291 -> SOLVED (false) in 2.3s [llm:0, judge:1]
[108/200] true_4688_4686: Equation4688 -> Equation4686 -> SOLVED (true) in 1.7s [llm:0, judge:1]
[109/200] true_2623_2517: Equation2623 -> Equation2517 -> SOLVED (true) in 1.6s [llm:0, judge:1]
[110/200] false_2243_3660: Equation2243 -> Equation3660 -> SOLVED (false) in 2.4s [llm:0, judge:1]
[111/200] false_280_833: Equation280 -> Equation833 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[112/200] true_1874_1871: Equation1874 -> Equation1871 -> SOLVED (true) in 1.6s [llm:0, judge:1]
[113/200] true_561_559: Equation561 -> Equation559 -> SOLVED (true) in 1.6s [llm:0, judge:1]
[114/200] false_108_3862: Equation108 -> Equation3862 -> SOLVED (false) in 2.2s [llm:0, judge:1]
[115/200] false_2079_24: Equation2079 -> Equation24 -> SOLVED (false) in 2.2s [llm:0, judge:1]
[116/200] true_3286_3278: Equation3286 -> Equation3278 -> SOLVED (true) in 1.6s [llm:0, judge:1]
[117/200] true_3504_3496: Equation3504 -> Equation3496 -> SOLVED (true) in 1.6s [llm:0, judge:1]
[118/200] false_4480_3684: Equation4480 -> Equation3684 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[119/200] true_1500_498: Equation1500 -> Equation498 -> FAILED in 8.4s [llm:0, judge:0]
[120/200] false_2925_3674: Equation2925 -> Equation3674 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[121/200] false_4290_3461: Equation4290 -> Equation3461 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[122/200] false_395_3271: Equation395 -> Equation3271 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[123/200] true_2137_1325: Equation2137 -> Equation1325 -> SOLVED (true) in 2.9s [llm:0, judge:1]
[124/200] true_1788_1700: Equation1788 -> Equation1700 -> SOLVED (true) in 1.5s [llm:0, judge:1]
[125/200] true_1253_1251: Equation1253 -> Equation1251 -> SOLVED (true) in 1.5s [llm:0, judge:1]
[126/200] true_691_1976: Equation691 -> Equation1976 -> FAILED in 15.4s [llm:0, judge:0]
[127/200] true_4151_4149: Equation4151 -> Equation4149 -> SOLVED (true) in 2.2s [llm:0, judge:1]
[128/200] true_2074_2082: Equation2074 -> Equation2082 -> FAILED in 8.4s [llm:0, judge:0]
[129/200] false_1117_4658: Equation1117 -> Equation4658 -> SOLVED (false) in 2.0s [llm:0, judge:1]
[130/200] true_1664_1644: Equation1664 -> Equation1644 -> SOLVED (true) in 1.5s [llm:0, judge:1]
[131/200] true_1457_1454: Equation1457 -> Equation1454 -> SOLVED (true) in 1.5s [llm:0, judge:1]
[132/200] true_4082_4109: Equation4082 -> Equation4109 -> FAILED in 1.0s [llm:0, judge:0]
[133/200] false_3068_503: Equation3068 -> Equation503 -> SOLVED (false) in 2.4s [llm:0, judge:1]
[134/200] true_2771_2775: Equation2771 -> Equation2775 -> FAILED in 17.4s [llm:0, judge:0]
[135/200] false_1764_616: Equation1764 -> Equation616 -> SOLVED (false) in 2.2s [llm:0, judge:1]
[136/200] false_907_2534: Equation907 -> Equation2534 -> SOLVED (false) in 3.9s [llm:0, judge:1]
[137/200] true_4561_4566: Equation4561 -> Equation4566 -> SOLVED (true) in 3.7s [llm:0, judge:1]
[138/200] false_3529_427: Equation3529 -> Equation427 -> SOLVED (false) in 2.2s [llm:0, judge:1]
[139/200] true_1197_1129: Equation1197 -> Equation1129 -> SOLVED (true) in 1.6s [llm:0, judge:1]
[140/200] true_2040_2035: Equation2040 -> Equation2035 -> SOLVED (true) in 1.6s [llm:0, judge:1]
[141/200] true_773_768: Equation773 -> Equation768 -> SOLVED (true) in 1.6s [llm:0, judge:1]
[142/200] true_3539_3536: Equation3539 -> Equation3536 -> SOLVED (true) in 1.7s [llm:0, judge:1]
[143/200] false_2584_3078: Equation2584 -> Equation3078 -> SOLVED (false) in 2.2s [llm:0, judge:1]
[144/200] false_1507_1526: Equation1507 -> Equation1526 -> SOLVED (false) in 2.2s [llm:0, judge:1]
[145/200] false_4507_2507: Equation4507 -> Equation2507 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[146/200] false_4325_1249: Equation4325 -> Equation1249 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[147/200] false_4640_1692: Equation4640 -> Equation1692 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[148/200] false_1861_1479: Equation1861 -> Equation1479 -> SOLVED (false) in 2.1s [llm:0, judge:1]
[149/200] false_1682_411: Equation1682 -> Equation411 -> SOLVED (false) in 2.5s [llm:0, judge:1]
[150/200] true_2034_2032: Equation2034 -> Equation2032 -> SOLVED (true) in 1.7s [llm:0, judge:1]
[151/200] true_498_488: Equation498 -> Equation488 -> SOLVED (true) in 1.6s [llm:0, judge:1]
[152/200] true_1676_1672: Equation1676 -> Equation1672 -> SOLVED (true) in 2.7s [llm:0, judge:1]
[153/200] true_1874_4357: Equation1874 -> Equation4357 -> SOLVED (true) in 2.2s [llm:0, judge:1]
[154/200] false_450_2087: Equation450 -> Equation2087 -> SOLVED (false) in 3.2s [llm:0, judge:1]
[155/200] true_172_169: Equation172 -> Equation169 -> SOLVED (true) in 2.0s [llm:0, judge:1]
[156/200] false_2474_3951: Equation2474 -> Equation3951 -> SOLVED (false) in 2.2s [llm:0, judge:1]
[157/200] false_2370_1248: Equation2370 -> Equation1248 -> SOLVED (false) in 2.8s [llm:0, judge:1]
[158/200] false_819_212: Equation819 -> Equation212 -> SOLVED (false) in 2.4s [llm:0, judge:1]
[159/200] true_4266_4223: Equation4266 -> Equation4223 -> SOLVED (true) in 1.8s [llm:0, judge:1]
[160/200] false_4428_3343: Equation4428 -> Equation3343 -> SOLVED (false) in 2.3s [llm:0, judge:1]
[161/200] false_3145_3481: Equation3145 -> Equation3481 -> SOLVED (false) in 2.3s [llm:0, judge:1]
[162/200] true_2055_2656: Equation2055 -> Equation2656 -> FAILED in 11.8s [llm:0, judge:0]
[163/200] true_863_862: Equation863 -> Equation862 -> SOLVED (true) in 1.4s [llm:0, judge:1]
[164/200] false_1925_1435: Equation1925 -> Equation1435 -> SOLVED (false) in 1.9s [llm:0, judge:1]
[165/200] true_689_1350: Equation689 -> Equation1350 -> FAILED in 1.0s [llm:0, judge:0]
[166/200] false_1117_4688: Equation1117 -> Equation4688 -> SOLVED (false) in 1.9s [llm:0, judge:1]
[167/200] false_1322_2469: Equation1322 -> Equation2469 -> SOLVED (false) in 1.8s [llm:0, judge:1]
[168/200] false_1790_1722: Equation1790 -> Equation1722 -> SOLVED (false) in 2.4s [llm:0, judge:1]
[169/200] true_4199_4157: Equation4199 -> Equation4157 -> SOLVED (true) in 1.4s [llm:0, judge:1]
[170/200] true_2944_2850: Equation2944 -> Equation2850 -> SOLVED (true) in 1.3s [llm:0, judge:1]
[171/200] true_25_23: Equation25 -> Equation23 -> SOLVED (true) in 1.3s [llm:0, judge:1]
[172/200] true_195_1948: Equation195 -> Equation1948 -> SOLVED (true) in 1.3s [llm:0, judge:1]
[173/200] false_2070_2699: Equation2070 -> Equation2699 -> SOLVED (false) in 1.8s [llm:0, judge:1]
[174/200] true_1785_1783: Equation1785 -> Equation1783 -> SOLVED (true) in 1.4s [llm:0, judge:1]
[175/200] true_4461_4433: Equation4461 -> Equation4433 -> SOLVED (true) in 1.3s [llm:0, judge:1]
[176/200] false_3943_503: Equation3943 -> Equation503 -> SOLVED (false) in 1.8s [llm:0, judge:1]
[177/200] false_1243_3481: Equation1243 -> Equation3481 -> SOLVED (false) in 1.8s [llm:0, judge:1]
[178/200] false_4508_910: Equation4508 -> Equation910 -> SOLVED (false) in 1.8s [llm:0, judge:1]
[179/200] true_616_614: Equation616 -> Equation614 -> SOLVED (true) in 1.3s [llm:0, judge:1]
[180/200] false_3120_4406: Equation3120 -> Equation4406 -> SOLVED (false) in 1.8s [llm:0, judge:1]
[181/200] false_3316_1242: Equation3316 -> Equation1242 -> SOLVED (false) in 1.8s [llm:0, judge:1]
[182/200] false_1039_4291: Equation1039 -> Equation4291 -> SOLVED (false) in 1.8s [llm:0, judge:1]
[183/200] true_404_4236: Equation404 -> Equation4236 -> SOLVED (true) in 1.4s [llm:0, judge:1]
[184/200] false_4120_2504: Equation4120 -> Equation2504 -> SOLVED (false) in 1.8s [llm:0, judge:1]
[185/200] false_2088_1833: Equation2088 -> Equation1833 -> SOLVED (false) in 1.8s [llm:0, judge:1]
[186/200] false_4658_2240: Equation4658 -> Equation2240 -> SOLVED (false) in 1.8s [llm:0, judge:1]
[187/200] true_3481_3456: Equation3481 -> Equation3456 -> SOLVED (true) in 1.3s [llm:0, judge:1]
[188/200] true_489_417: Equation489 -> Equation417 -> SOLVED (true) in 1.3s [llm:0, judge:1]
[189/200] false_3556_1454: Equation3556 -> Equation1454 -> SOLVED (false) in 1.8s [llm:0, judge:1]
[190/200] false_378_1275: Equation378 -> Equation1275 -> SOLVED (false) in 1.8s [llm:0, judge:1]
[191/200] true_674_668: Equation674 -> Equation668 -> FAILED in 19.6s [llm:0, judge:0]
[192/200] false_4436_2100: Equation4436 -> Equation2100 -> SOLVED (false) in 1.9s [llm:0, judge:1]
[193/200] false_4443_2737: Equation4443 -> Equation2737 -> SOLVED (false) in 2.0s [llm:0, judge:1]
[194/200] false_4508_1657: Equation4508 -> Equation1657 -> SOLVED (false) in 1.9s [llm:0, judge:1]
[195/200] false_117_1895: Equation117 -> Equation1895 -> SOLVED (false) in 1.8s [llm:0, judge:1]
[196/200] true_1636_1839: Equation1636 -> Equation1839 -> FAILED in 6.3s [llm:0, judge:0]
[197/200] false_4271_4598: Equation4271 -> Equation4598 -> SOLVED (false) in 1.8s [llm:0, judge:1]
[198/200] true_4391_4382: Equation4391 -> Equation4382 -> SOLVED (true) in 1.3s [llm:0, judge:1]
[199/200] false_58_1860: Equation58 -> Equation1860 -> SOLVED (false) in 1.9s [llm:0, judge:1]
[200/200] false_1634_3867: Equation1634 -> Equation3867 -> SOLVED (false) in 1.8s [llm:0, judge:1]

============================================================
Results: 183/200 solved, 17 failed
Total time: 551.3s
Output: /Users/jc/Downloads/LandDesk/equational-theories-lean-stage2/pipeline/results/route_ablation/public_exact_certificates_disabled_sample200.json
